,WHO Region,WHO Country Name,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
305,European Region,Monaco,2016,22.96522161872192,16.89,33.6
306,European Region,Monaco,2017,22.96522161872192,16.5,35.0
307,European Region,Monaco,2018,22.96522161872192,11.5,34.25
308,European Region,Monaco,2019,22.96522161872192,14.0,32.0
309,European Region,Montenegro,2010,91.86088647488768,187.14000000000001,98.1
310,European Region,Montenegro,2013,91.86088647488768,183.42000000000002,79.85566770960867
311,European Region,Montenegro,2014,91.86088647488768,185.22715159040976,76.36783385480433
312,European Region,Montenegro,2015,91.86088647488768,230.06,93.08
313,European Region,Montenegro,2016,91.86088647488768,187.60715159040979,83.35566770960867
314,European Region,Montenegro,2017,91.86088647488768,164.0671515904098,74.01783385480434
315,European Region,Montenegro,2018,68.89566485616575,140.32,60.597833854804335
316,European Region,Montenegro,2019,22.96522161872192,30.397151590409777,14.89
317,European Region,Netherlands,2010,803.75965399316,1043.9529095424589,984.509169274022
318,European Region,Netherlands,2013,1124.4614269429353,1377.1757579520486,1406.0405046932387
319,European Region,Netherlands,2014,1052.9509837054916,1283.1357579520486,1337.5383385480434
320,European Region,Netherlands,2015,1071.4423134178228,1156.888606361639,1251.7770031288264
321,European Region,Netherlands,2016,887.2553188493257,1041.218606361639,1222.9891692740218
322,European Region,Netherlands,2017,882.364875611882,1111.065757952049,1210.9891692740218
323,European Region,Netherlands,2018,854.2044323744382,1084.348606361639,1088.017003128826
324,European Region,Netherlands,2019,831.4296539931601,1022.6986063616392,1046.599169274022
325,European Region,North Macedonia,2010,160.75655133105346,362.45430318081947,135.48133541921732
326,European Region,North Macedonia,2013,113.39566485616578,333.71,88.09566770960868
327,European Region,North Macedonia,2014,68.89566485616575,101.74715159040977,45.83566770960867
328,European Region,North Macedonia,2016,200.93655133105347,473.41,168.487003128826
329,European Region,North Macedonia,2017,227.20177294977537,459.57000000000005,190.317003128826
330,European Region,North Macedonia,2018,183.72177294977539,360.37000000000006,179.85133541921732
331,European Region,North Macedonia,2019,183.72177294977539,256.34575795204887,159.97783385480435
332,European Region,Norway,2010,280.5369945684972,360.84145477122934,453.563501564413
333,European Region,Norway,2013,232.12655133105343,310.47,416.5613354192174
334,European Region,Norway,2014,247.39655133105344,332.1871515904098,399.1256677096087
335,European Region,Norway,2015,242.14132971233153,371.49430318081954,472.0456677096087
336,European Region,Norway,2016,291.34655133105343,424.89430318081963,567.4691692740219
337,European Region,Norway,2017,282.7113297123316,428.9943031808196,578.503501564413
338,European Region,Norway,2018,317.2108864748877,549.3971515904097,708.6870031288262
339,European Region,Norway,2019,314.82610809360966,507.52715159040986,705.1591692740217
340,European Region,Poland,2010,4099.897923958959,5981.401699302702,3184.116203691106
341,European Region,Poland,2013,4206.375707771742,5863.554425446556,3281.736203691106
342,European Region,Poland,2014,4095.0887132032426,5897.608728627375,3167.936203691106
343,European Region,Poland,2015,4042.008269965799,5715.405819084914,3163.75486827189
344,European Region,Poland,2016,4001.6082699657995,5455.465819084917,3165.4048682718885
345,European Region,Poland,2017,4287.684821296854,5916.610122265737,3367.8153729651262
346,European Region,Poland,2018,4432.720929390463,6157.61581908492,3445.753206819932
347,European Region,Poland,2019,4197.799599678133,5287.371515904091,3376.1810406747363
348,European Region,Portugal,2010,924.4727566552666,1251.9800611328685,1065.7513354192172
349,European Region,Portugal,2013,572.880097230604,690.8272127232781,503.62833854804353
350,European Region,Portugal,2014,627.260097230604,696.1614547712293,475.12783385480435
351,European Region,Portugal,2015,757.9509837054915,850.5043031808194,671.1813354192174
352,European Region,Portugal,2016,805.4918701803792,865.7929095424588,700.610504693239
353,European Region,Portugal,2017,800.6666485616572,871.9143031808194,798.0118401124563
354,European Region,Portugal,2018,1012.2940863675983,984.3300611328682,937.3318401124565
355,European Region,Portugal,2019,895.4327566552668,1009.575819084917,840.7983385480433
356,European Region,Romania,2010,1287.3545296050418,1701.491638169834,1300.9558463701076
357,European Region,Romania,2013,1171.0097512237637,1379.5243643136878,1117.5701786604993
358,European Region,Romania,2014,974.2084215114324,1066.0957579520489,870.4071817893257
359,European Region,Romania,2015,1179.9754160799296,1391.9444254465561,980.4515140797164
360,European Region,Romania,2016,1075.399751223764,1207.031577036966,923.6175078220647
361,European Region,Romania,2017,1814.3202916918112,2127.641638169834,1549.17483698363
